topic,topic_distribution
97,"{'collateral': np.float64(0.7288841732189304), 'board': np.float64(0.45870955347433245), 'fund': np.float64(0.30431000497773614), 'guarantee': np.float64(0.25203330575922644), 'hedge': np.float64(0.20019354846830564), 'deposit': np.float64(0.18631344614855527), 'bond': np.float64(0.1537451093068937), 'bail': np.float64(0.04502471542550346), 'probation': np.float64(0.02877836242856214), 'debtor': np.float64(0.016906344149510054), 'guarantor': np.float64(0.015008238475167815), 'bring': np.float64(0.010567113005421376), 'borrowing': np.float64(0.009839435576786478), 'bod': np.float64(0.00819151097251891), 'boarding': np.float64(0.006283923487320074), 'debenture': np.float64(0.005002746158389273), 'lend': np.float64(0.005002746158389273), 'penalty': np.float64(0.004058415706826673), 'pay': np.float64(0.0022660145021780797), 'libor': np.float64(0.0017777560447332036), 'entrust': np.float64(0.0014027963760360918), 'suspension': np.float64(0.0012811773289308013), 'borrow': np.float64(0.0004610977553554719), 'waiver': np.float64(0.0003528491314758871), 'charter': np.float64(2.2488848487166932e-05)}"
98,"{'based': np.float64(0.9818705440054045), 'managed': np.float64(0.1456975735383528), 'stable': np.float64(0.11253428560878251), 'moderately': np.float64(0.038677257108518916), 'controlled': np.float64(0.017155130982285834), 'balanced': np.float64(0.012430188401606923), 'matched': np.float64(0.009067614501615376), 'stabilized': np.float64(0.002813689316886609), 'stabilizing': np.float64(0.0014575026566338565), 'fairly': np.float64(0.0009758336438337046), 'normally': np.float64(0.0007209768301712851), 'healthy': np.float64(0.00011411339996658804), 'fairer': np.float64(1.5711706811423608e-05)}"
99,"{'liquidity': np.float64(0.9559923349611196), 'metric': np.float64(0.2543840615660021), 'range': np.float64(0.11933219154442862), 'frequency': np.float64(0.05678222062205792), 'ratingband': np.float64(0.03601597806972856), 'cable': np.float64(0.02701198355229642), 'dimension': np.float64(0.023077447074516935), 'channel': np.float64(0.022793225545090265), 'bps': np.float64(0.018254074060245), 'boundary': np.float64(0.014268641401547303), 'stream': np.float64(0.012829528588209385), 'interval': np.float64(0.006489202862734805), 'budget': np.float64(0.004531577131870155), 'timing': np.float64(0.004487507679996192), 'space': np.float64(0.004235703208420313), 'downstream': np.float64(0.002841999012587338), 'length': np.float64(0.002455757079230747), 'transmission': np.float64(0.002455757079230747), 'bandwidth': np.float64(0.0010001812031643533), 'bottleneck': np.float64(0.0006139392698076868), 'telecom': np.float64(0.0006135790411063914), 'bit': np.float64(0.00030323598651365755), 'spanning': np.float64(5.05953738639156e-05), 'webcast': np.float64(3.30599030495253e-05), 'broadening': np.float64(2.295201291561457e-05), 'bw': np.float64(1.4192598885413663e-05), 'tuning': np.float64(5.472738029300273e-06)}"
100,"{'price': np.float64(0.5682410863585624), 'parameter': np.float64(0.5495965195926921), 'monitor': np.float64(0.49857112129024495), 'perspective': np.float64(0.2703670115952166), 'regulator': np.float64(0.19317698046334053), 'calibrated': np.float64(0.11029392448643381), 'scorecard': np.float64(0.04123395473027394), 'volatile': np.float64(0.0274326478303816), 'observable': np.float64(0.020623701583267696), 'temperature': np.float64(0.020215161330931753), 'stand': np.float64(0.019562142334793132), 'bureau': np.float64(0.01021142937672289), 'moody': np.float64(0.009551091972352634), 'weighing': np.float64(0.0035385067134193543), 'momentum': np.float64(0.003533201766968448), 'headroom': np.float64(0.0014643209098269352), 'barometer': np.float64(0.00022658479021740683), 'barrier': np.float64(2.714486726562823e-05)}"
101,"{'pillar': np.float64(0.9638264185196211), 'strong': np.float64(0.16913073069135737), 'remain': np.float64(0.16256193829889443), 'parent': np.float64(0.10379362348222926), 'peer': np.float64(0.058511536753502714), 'bringing': np.float64(0.03224435792287889), 'bear': np.float64(0.021024752373772125), 'flag': np.float64(0.013329252644053963), 'panda': np.float64(0.009691363128212544), 'ran': np.float64(0.005516050667805271), 'row': np.float64(0.004309903465792343), 'big': np.float64(0.0027036282721407973), 'child': np.float64(0.0004944154898748671), 'stride': np.float64(0.0004667662191173645), 'lever': np.float64(0.000294768606209068), 'roe': np.float64(0.000294768606209068), 'caught': np.float64(0.00022977908394173222)}"
102,"{'remained': np.float64(0.693179003820065), 'took': np.float64(0.46437470879946147), 'becoming': np.float64(0.3391165884967717), 'became': np.float64(0.2646358620993405), 'began': np.float64(0.24074242795647055), 'becomes': np.float64(0.15655641855755587), 'showed': np.float64(0.1085363906868372), 'learnt': np.float64(0.09148493883247885), 'undergone': np.float64(0.07685843784182732), 'grew': np.float64(0.06924753739337944), 'progressed': np.float64(0.054515902796873336), 'commenced': np.float64(0.040028404968597206), 'receded': np.float64(0.020707589771535802), 'widened': np.float64(0.020707589771535802), 'deepened': np.float64(0.008368601184538514), 'broadened': np.float64(0.002446965985640101)}"
103,"{'require': np.float64(0.5801194785323621), 'yield': np.float64(0.46674659102520155), 'vanilla': np.float64(0.34474589297898933), 'food': np.float64(0.33552983983223583), 'brrd': np.float64(0.33514002361679784), 'hong': np.float64(0.21407113585620588), 'steer': np.float64(0.17323420257168748), 'feed': np.float64(0.1400066262725512), 'steel': np.float64(0.05593140102433323), 'feeder': np.float64(0.03733395988909227), 'bssts': np.float64(0.028004746605274376), 'geb': np.float64(0.027423469979668682), 'turkey': np.float64(0.015350044992158588), 'beef': np.float64(0.005484693995933765), 'boe': np.float64(0.005484693995933737), 'pound': np.float64(0.005484693995933737), 'reit': np.float64(0.005484693995933737), 'fed': np.float64(0.0018213254672729022), 'soy': np.float64(0.0018213254672729022), 'hamper': np.float64(0.0008548366353060843), 'fte': np.float64(5.663499889878731e-18)}"
104,"{'initial': np.float64(0.7705100922301831), 'introduced': np.float64(0.4429999594487537), 'ended': np.float64(0.3594797053586269), 'starting': np.float64(0.1986391270922592), 'started': np.float64(0.16833183869909474), 'opening': np.float64(0.08620739128338666), 'going': np.float64(0.04652026880069961), 'onset': np.float64(0.021497136610796413), 'launched': np.float64(0.0212918553228735), 'start': np.float64(0.01993073283127662), 'initiated': np.float64(0.019799033072577844), 'resumed': np.float64(0.019276060884221208), 'instituted': np.float64(0.019002098228997583), 'undertakes': np.float64(0.019002098228997583), 'launching': np.float64(0.01822002555125278), 'underway': np.float64(0.00906435753224927), 'launch': np.float64(0.008938034601091226), 'commencing': np.float64(0.008431666797472384), 'begun': np.float64(0.00841756462885963), 'coming': np.float64(0.00375210488392771), 'founded': np.float64(0.0014355348882791486), 'budding': np.float64(0.0002739626552236283)}"
105,"{'service': np.float64(0.9544321257555028), 'partially': np.float64(0.27609289186809327), 'half': np.float64(0.07235233007422859), 'behalf': np.float64(0.05375806862800395), 'serve': np.float64(0.05309035716392401), 'helping': np.float64(0.03580487071533454), 'proportion': np.float64(0.023737842179739847), 'serving': np.float64(0.006537039526902488), 'beneficiary': np.float64(0.0006707817084840029)}"
106,"{'performance': np.float64(0.5695999896103687), 'function': np.float64(0.5088956705175777), 'policy': np.float64(0.4756706267616321), 'condition': np.float64(0.26175560720521635), 'environment': np.float64(0.21055342645687591), 'work': np.float64(0.1196467271870864), 'body': np.float64(0.11244499428759226), 'practice': np.float64(0.11088803993826128), 'physical': np.float64(0.1018566194543441), 'behavior': np.float64(0.09199496807598512), 'nature': np.float64(0.09153899219891688), 'experience': np.float64(0.07500310987303033), 'response': np.float64(0.05080751131762058), 'problem': np.float64(0.03274251763116161), 'dynamic': np.float64(0.03196779607885382), 'pattern': np.float64(0.016798633347432253), 'exercise': np.float64(0.01441797736124217), 'handling': np.float64(0.014155574487014712), 'person': np.float64(0.0017871104686614518), 'behaviour': np.float64(0.0012883627928197067), 'presence': np.float64(0.0007625677961979336), 'behavioural': np.float64(0.0005486238819696218), 'sense': np.float64(0.00017568420187628425), 'conversation': np.float64(0.00016351777565820993), 'mode': np.float64(0.00016104534910246334)}"
107,"{'ukraine': np.float64(0.7590476773013076), 'luxembourg': np.float64(0.3567546072004429), 'srb': np.float64(0.27334121218446883), 'gbp': np.float64(0.24906980989666458), 'belgium': np.float64(0.23087447570279668), 'obligor': np.float64(0.21700339267293633), 'ukraine⁸': np.float64(0.2143901326879127), 'moscow': np.float64(0.07194538826306891), 'estonia': np.float64(0.06468206013156332), 'belarus': np.float64(0.04146643779212303), 'finland': np.float64(0.03735811057529559), 'ukraine¹': np.float64(0.023981796087689647), 'romania': np.float64(0.011162709322786981), 'taiwanese': np.float64(0.010226580045468382), 'türkiye': np.float64(0.00893016745822958), 'belarusian': np.float64(0.007258061658964902), 'ukrainian': np.float64(0.007258061658964902), 'boston': np.float64(0.0007323471106551149), 'brussels': np.float64(-7.174784943858138e-19)}"
108,"{'held': np.float64(0.5639326903222739), 'holding': np.float64(0.5398958020898618), 'designated': np.float64(0.3756355934733889), 'structured': np.float64(0.28259484069475854), 'hold': np.float64(0.2665315036513666), 'hedged': np.float64(0.20781838136812758), 'bucket': np.float64(0.16763593316212427), 'margining': np.float64(0.15127180688386394), 'underpinned': np.float64(0.05683245331213138), 'highlighted': np.float64(0.02146557799671097), 'benchmarked': np.float64(0.02121593865573633), 'pending': np.float64(0.011204882778549289), 'indexed': np.float64(0.004142706229123365), 'marker': np.float64(0.004142706229123365), 'mined': np.float64(0.004142706229123365), 'brink': np.float64(0.0003327680840665627), 'marking': np.float64(0.0002163297925296011), 'marred': np.float64(7.10554362701769e-05), 'block': np.float64(2.8254466265652387e-06), 'flagged': np.float64(2.8254466265652387e-06)}"
109,"{'moderate': np.float64(0.9796076138851907), 'granular': np.float64(0.1951915689585146), 'dormant': np.float64(0.022270686641439604), 'ned': np.float64(0.022270686641439604), 'ning': np.float64(0.022270686641439604), 'suspicious': np.float64(0.022270686641439604), 'benign': np.float64(0.009919768141636507), 'minor': np.float64(0.007111898868167776), 'insignificant': np.float64(0.006965544664206481), 'mutual': np.float64(0.006860214355238028), 'predominant': np.float64(0.004257277803718401), 'negligible': np.float64(0.004150697027664826), 'mild': np.float64(0.0016298341867469197), 'nim': np.float64(0.0016298341867469197), 'lump': np.float64(0.00011231082627366177), 'undesirable': np.float64(4.0686333221569764e-18), 'modest': np.float64(-9.823987632644071e-20)}"
110,"{'style': np.float64(0.7221997735174289), 'particular': np.float64(0.4882459380586332), 'bespoke': np.float64(0.30081056697869046), 'specified': np.float64(0.2818754240652061), 'exceptional': np.float64(0.17580659680224195), 'exclusively': np.float64(0.14944765879849453), 'predefined': np.float64(0.09764921436363395), 'special': np.float64(0.05901760199359264), 'specialist': np.float64(0.058111488766176875), 'personalized': np.float64(0.01367379774538614), 'tooling': np.float64(0.0119835476925299), 'specification': np.float64(0.011373934473079064), 'personalised': np.float64(0.00205543136361473), 'personalise': np.float64(0.0005620813670605473), 'personalization': np.float64(0.00044515254567814653), 'speciﬁc': np.float64(4.5008339760916626e-05)}"
111,"{'well': np.float64(0.9441733112677485), 'higher': np.float64(0.2909011180930435), 'second': np.float64(0.11471148606061701), 'longer': np.float64(0.06553543673148234), 'less': np.float64(0.05917859507174398), 'better': np.float64(0.03904984743472354), 'larger': np.float64(0.028334785876065496), 'wider': np.float64(0.02130916781441553), 'smaller': np.float64(0.009634044744642842), 'improves': np.float64(0.005012303007544151), 'slower': np.float64(0.004931077589984432), 'optimal': np.float64(0.0042384041449440735), 'stronger': np.float64(0.0035666452716412262), 'newer': np.float64(0.0014963508875761526), 'superior': np.float64(0.0006255317650368444), 'easier': np.float64(0.00031567210220231174), 'safer': np.float64(0.0001715315810617717), 'bigger': np.float64(0.0001438427285749077), 'healthier': np.float64(9.994699425320834e-05), 'great': np.float64(8.122541755971983e-05), 'greener': np.float64(8.122541755971983e-05)}"
112,"{'rwa': np.float64(0.9682595930709865), 'bn': np.float64(0.23488839984273455), 'dws': np.float64(0.05179451374763451), 'w': np.float64(0.05148540897961948), 'mb': np.float64(0.033986393155226224), 'chf': np.float64(0.01342653449212657), 'hr': np.float64(0.013379145965382705), 'hnw': np.float64(0.010876095978091634), 'kwg': np.float64(0.010876095978091634), 'uhnw': np.float64(0.010876095978091634), 'dbirs': np.float64(0.005549611308436784), 'wrr': np.float64(0.005171932285647334), 'h': np.float64(0.0030325621437465307), 'stwg': np.float64(0.00290445011492805), 'bhw': np.float64(0.0029044501149279654), 'bnp': np.float64(0.002585966142823667), 'htqo': np.float64(0.0017551296320004863), 'qh': np.float64(0.0017551296320004863), 'mbss': np.float64(0.0008775648160002431), 'wn': np.float64(0.0008775648160002431), 'sh': np.float64(0.0003818449590832559), 'ghg': np.float64(0.00011878270696032844), 'gähwiler': np.float64(2.945964316909017e-05), 'dybvad': np.float64(1.578542621991551e-17), 'mbb': np.float64(-1.992364971669385e-19), 'sb': np.float64(-1.992364971669385e-19), 'sbti': np.float64(-4.3774626177831144e-18), 'wellbeing': np.float64(-6.969204529067924e-18), 'wb': np.float64(-7.135479879927262e-18)}"
113,"{'internal': np.float64(0.9917757759849448), 'db': np.float64(0.11534705679580445), 'de': np.float64(0.05332646823823849), 'lie': np.float64(0.007946727937245214), 'iv': np.float64(0.0066223370416891095), 'bi': np.float64(0.006605754406040632), 'gia': np.float64(0.00637919001294664), 'vi': np.float64(0.0034326555639829226), 'lien': np.float64(0.003376425753839369), 'min': np.float64(0.00318959500647332), 'mi': np.float64(0.0020164215832442433), 'cu': np.float64(0.001063198335491107), 'ge': np.float64(0.001063198335491107), 'wi': np.float64(0.001063198335491107), 'ch': np.float64(5.183703972489052e-05), 'po': np.float64(3.8877779793667905e-05), 'che': np.float64(1.295925993122263e-05), 'ri': np.float64(1.295925993122263e-05), 'tr': np.float64(4.5688826825734255e-09), 'eb': np.float64(-2.1920104057669744e-18)}"
114,"{'gross': np.float64(0.6735532544101884), 'first': np.float64(0.5290158311673548), 'least': np.float64(0.411208107111943), 'large': np.float64(0.2332013786793513), 'leading': np.float64(0.1333787979058037), 'latest': np.float64(0.08813876909570952), 'largest': np.float64(0.08721515944772128), 'vast': np.float64(0.05602978994328974), 'last': np.float64(0.05551884711490463), 'earliest': np.float64(0.04248198093092997), 'credible': np.float64(0.030219542401547003), 'majorly': np.float64(0.02055419604259432), 'longest': np.float64(0.0161306825111814), 'greatest': np.float64(0.010377673752661774), 'max': np.float64(0.005923996938637953), 'lowest': np.float64(0.003949331292425302), 'foremost': np.float64(0.0038119624796680127), 'sizeable': np.float64(0.0038119624796680127), 'worst': np.float64(0.0038119624796680127), 'biggest': np.float64(0.001667348628423976), 'fastest': np.float64(0.0008144866357823055), 'momentous': np.float64(0.0004453399857823357), 'nearest': np.float64(0.0003691466499999694), 'deeper': np.float64(0.00034731526527474044), 'grand': np.float64(0.00034731526527474044), 'supreme': np.float64(0.0003302262194881939), 'giant': np.float64(0.00020351263219223713)}"
115,"{'billion': np.float64(0.9907951544761157), 'comprehensive': np.float64(0.1164216846112501), 'bilateral': np.float64(0.06814177297752044), 'complementary': np.float64(0.01075883672041983), 'inclusive': np.float64(0.00234981846693064), 'twofold': np.float64(0.0019506027485099587), 'wise': np.float64(0.0011501945835360832), 'mutually': np.float64(0.001017077302329827), 'coupled': np.float64(0.0003940449186555024), 'tripartite': np.float64(0.00021491925773654345), 'double': np.float64(7.796097249127011e-05), 'unified': np.float64(6.706476307354339e-05), 'lateral': np.float64(5.464110131509678e-05), 'recurrent': np.float64(2.2631219567579827e-05)}"
116,"{'sustainability': np.float64(0.7596594123965974), 'various': np.float64(0.49666573993076335), 'diversification': np.float64(0.27333858606695016), 'pandemic': np.float64(0.181699287560927), 'holistic': np.float64(0.12904335030568567), 'resilience': np.float64(0.1171666288222374), 'longevity': np.float64(0.10192688601239829), 'diversified': np.float64(0.08983772719106281), 'variety': np.float64(0.07225858134936165), 'conservation': np.float64(0.06621998934239265), 'viability': np.float64(0.057350373956689585), 'innovation': np.float64(0.04911278564319223), 'complexity': np.float64(0.035528698316731895), 'population': np.float64(0.03194181736182701), 'diverse': np.float64(0.022042999623889982), 'holistically': np.float64(0.02014426653342551), 'biodiversity': np.float64(0.019440140263684954), 'ecosystem': np.float64(0.019249126177441896), 'evolution': np.float64(0.011199019195976231), 'forest': np.float64(0.009566474644419965), 'environmentally': np.float64(0.007746443392790793), 'diversifying': np.float64(0.006547672014041673), 'diversify': np.float64(0.006289911254980974), 'biometric': np.float64(0.00432260708051864), 'deforestation': np.float64(0.004262661493086738), 'comprehensiveness': np.float64(0.0037624551005345733), 'interconnectivity': np.float64(0.0037624551005345733), 'universe': np.float64(0.0037624551005345733), 'livelihood': np.float64(0.0010955072402204155), 'endemic': np.float64(0.000908625304928704), 'humanity': np.float64(0.0005328326866358423), 'popularity': np.float64(0.0005328326866358423), 'stewardship': np.float64(0.0005328326866358423), 'inclusiveness': np.float64(0.0004393057816558463)}"
117,"{'investment': np.float64(0.9823810810431229), 'horizon': np.float64(0.18453506103821682), 'tltro': np.float64(0.015080413566524186), 'gcrg': np.float64(0.012191728851367517), 'stock': np.float64(0.009321166037489758), 'invest': np.float64(0.00906800163206761), 'csrbb': np.float64(0.007624682543973041), 'wall': np.float64(0.00738262798008544), 'investing': np.float64(0.00582453764509164), 'cornerstone': np.float64(0.005496950323434894), 'invests': np.float64(0.005496950323434894), 'solid': np.float64(0.005423641006967938), 'lock': np.float64(0.005124739930671882), 'ledger': np.float64(0.00470423816524849), 'slr': np.float64(0.0037701033916310465), 'red': np.float64(0.0036596461511308022), 'rbc': np.float64(0.0027092730780816704), 'robo': np.float64(0.0019949650871668194), 'bookrunner': np.float64(0.0017751383044642272), 'shale': np.float64(0.0013546365390408352), 'bloomberg': np.float64(0.0005656709952593836), 'stoxx': np.float64(0.00011053935218631733), 'blackrock': np.float64(3.165276860621761e-05), 'goldman': np.float64(3.1652768606161214e-05)}"
118,"{'exemption': np.float64(0.7411733987462267), 'protection': np.float64(0.6552121778585716), 'precious': np.float64(0.1388612068550296), 'redemption': np.float64(0.03818710262712374), 'giving': np.float64(0.01886747215706359), 'letting': np.float64(0.012414817099531836), 'grace': np.float64(0.009897655027658015), 'rewarding': np.float64(0.0028559691978553353), 'forgiveness': np.float64(0.001440528985131782), 'thank': np.float64(2.0597081628473376e-05), 'donation': np.float64(1.0340380747696967e-05), 'welcoming': np.float64(1.0312487458723447e-05), 'providence': np.float64(1.028459416974993e-05), 'testament': np.float64(1.0245594840690892e-05), 'delight': np.float64(1.0206574414500998e-05), 'blessing': np.float64(1.5574653888283218e-17), 'celebrating': np.float64(2.216360592537143e-18)}"
119,"{'net': np.float64(0.8082856819785198), 'division': np.float64(0.5080584040861816), 'target': np.float64(0.2879133864771365), 'transactions⁷': np.float64(0.04741462755797584), 'enter': np.float64(0.03691175000983227), 'digital': np.float64(0.032477868021832446), 'chain': np.float64(0.029084317702944736), 'tenet': np.float64(0.007902437926329307), 'zone': np.float64(0.005892562718920183), 'lockdown': np.float64(0.004722751145418195), 'digit': np.float64(0.003990323287267532), 'blockchain': np.float64(0.003161865684321752), 'chatbot': np.float64(0.00022645787751731096), 'message': np.float64(0.0001266245589556596)}"
120,"{'figure': np.float64(0.7548414686434793), 'green': np.float64(0.3984132772600831), 'led': np.float64(0.326896763385435), 'gold': np.float64(0.2896679587174507), 'four': np.float64(0.23156869740867328), 'deep': np.float64(0.14314458953853018), 'grid': np.float64(0.051561434629046915), 'cloud': np.float64(0.05104343035474352), 'blue': np.float64(0.029867258424159337), 'kle': np.float64(0.013432858291389177), 'ray': np.float64(0.013432858291389177), 'orange': np.float64(0.007075674321796464), 'rose': np.float64(0.0026902374207269145), 'draw': np.float64(0.002547211229982227), 'generic': np.float64(0.002547211229982227), 'cold': np.float64(0.0024995484458209824), 'gamma': np.float64(0.002070192258846902)}"
121,"{'clearing': np.float64(0.9081040665152579), 'steam': np.float64(0.29773395990188184), 'growing': np.float64(0.21602179621543885), 'stemming': np.float64(0.1781184052005971), 'curing': np.float64(0.04962232665031366), 'exposing': np.float64(0.04962232665031366), 'expanding': np.float64(0.037129797535636166), 'conducting': np.float64(0.025610553235088644), 'consuming': np.float64(0.02521929213421523), 'refining': np.float64(0.013948393561433162), 'carbonization': np.float64(0.012325728588252522), 'reacting': np.float64(0.012325728588252522), 'unwinding': np.float64(0.012325728588252522), 'flooding': np.float64(0.00526571866025261), 'warming': np.float64(0.0040883417441412205), 'heatwaves': np.float64(0.0020415999555092857), 'thaw': np.float64(0.0020415999555092857), 'deepening': np.float64(0.002033165427823001), 'flowing': np.float64(0.002033165427823001), 'collapsing': np.float64(0.0008113324865903197), 'rigor': np.float64(0.0008113324865903197), 'sparking': np.float64(0.0008113324865903197), 'branding': np.float64(0.000806029676185831), 'compiling': np.float64(0.0005442263187009485), 'seizing': np.float64(0.0004061476890152257), 'winding': np.float64(0.0004061476890152257), 'turning': np.float64(7.729724925607578e-06), 'boiling': np.float64(2.5652581475747908e-06), 'preparing': np.float64(2.5652581474446785e-06), 'overheating': np.float64(-1.6903637554915472e-18)}"
122,"{'leveraged': np.float64(0.8842765915574892), 'strengthened': np.float64(0.31159087467075575), 'substantiated': np.float64(0.20951510566975812), 'reinforced': np.float64(0.17253070608735593), 'underpin': np.float64(0.15341834111359715), 'ensured': np.float64(0.1085406674613951), 'weakened': np.float64(0.09146648263024838), 'endorse': np.float64(0.04579629204227749), 'strengthens': np.float64(0.027880726307630464), 'underpins': np.float64(0.025419525141116964), 'lifted': np.float64(0.006016536961238366), 'fortified': np.float64(0.004127534998106598), 'fuelled': np.float64(0.003778003926263538), 'emboldened': np.float64(0.003486605211049514), 'vaulted': np.float64(0.0029814892600567152), 'bolstered': np.float64(0.002981489260056573)}"
123,"{'sheet': np.float64(0.7429706955173454), 'book': np.float64(0.4905083996074471), 'table': np.float64(0.3967904718532446), 'show': np.float64(0.21318837861579265), 'documentation': np.float64(0.04292197940822748), 'chapter': np.float64(0.026166909287870396), 'card': np.float64(0.022609414218096004), 'read': np.float64(0.02118226436574431), 'repository': np.float64(0.017522338704213488), 'paper': np.float64(0.016887563722815323), 'desk': np.float64(0.013243614165638422), 'list': np.float64(0.012161301058516726), 'rulebook': np.float64(0.007871527283479524), 'catalogue': np.float64(0.0042787245385750685), 'database': np.float64(0.003913121788310903), 'pdf': np.float64(0.0023275293396047606), 'file': np.float64(0.0006416650783501327), 'writes': np.float64(0.0005393661316973534), 'store': np.float64(3.288844623077802e-05)}"
124,"{'ubs': np.float64(0.8357910021306549), 'limit': np.float64(0.5112158316882723), 'rule': np.float64(0.17484780903218092), 'gap': np.float64(0.06386253468258825), 'window': np.float64(0.04845797825086459), 'hoc': np.float64(0.04539526827328921), 'subset': np.float64(0.023823767670120486), 'collapse': np.float64(0.013331694985031992), 'box': np.float64(0.011683464252871626), 'display': np.float64(0.00909342756899341), 'bracket': np.float64(0.00688334015263483), 'und': np.float64(0.004546713784496705), 'panel': np.float64(0.004093774432800368), 'fold': np.float64(0.001837597731572326), 'plug': np.float64(2.173534542225514e-17), 'pack': np.float64(-4.703436402183354e-18)}"
125,"{'planning': np.float64(0.9837209072608093), 'conceptually': np.float64(0.10120063330261177), 'project': np.float64(0.08428693512781077), 'generating': np.float64(0.06990330173615109), 'dialogue': np.float64(0.048041801440881896), 'exploratory': np.float64(0.04521749072838256), 'draft': np.float64(0.03493717592959891), 'briefing': np.float64(0.03373354443420393), 'inventorization': np.float64(0.03373354443420393), 'reorganization': np.float64(0.03373354443420393), 'concept': np.float64(0.031127884736593368), 'collaborate': np.float64(0.007639531742764343), 'roadmap': np.float64(0.006066820071631951), 'inception': np.float64(0.002998804561076594), 'idea': np.float64(0.000565842539083376), 'talking': np.float64(0.0003580215050572742), 'reimagining': np.float64(0.0002768437979150456), 'mindset': np.float64(0.0002478378354790729), 'debate': np.float64(0.00012494188569523766), 'exploring': np.float64(8.931344300015578e-05), 'hacking': np.float64(8.931344300015578e-05), 'constructive': np.float64(8.350048978102292e-05), 'inspiring': np.float64(6.939913506857898e-05), 'convening': np.float64(6.92109494787614e-05), 'reimagine': np.float64(6.92109494787614e-05), 'brainstorming': np.float64(6.921094947868317e-05), 'reinvent': np.float64(1.8818558981759038e-07)}"
126,"{'market': np.float64(0.8198650467827203), 'portfolio': np.float64(0.5029220883263291), 'product': np.float64(0.2016725519154319), 'category': np.float64(0.17618603987904036), 'identification': np.float64(0.049561248411452166), 'issuer': np.float64(0.022423450541784438), 'mark': np.float64(0.01289376454120943), 'version': np.float64(0.005893903543691136), 'brand': np.float64(0.00388526439747786), 'registered': np.float64(0.001153941835057082), 'marketing': np.float64(0.0008921191675836791), 'tagline': np.float64(2.853026587110546e-05)}"
127,"{'loss': np.float64(0.9960996821680047), 'transition': np.float64(0.0584028092337128), 'segment': np.float64(0.043656913586626746), 'step': np.float64(0.02861048394683789), 'breakdown': np.float64(0.02407612768825306), 'run': np.float64(0.0203249314448178), 'disruption': np.float64(0.01684591837419288), 'fall': np.float64(0.01224095097715338), 'split': np.float64(0.011153594215808981), 'break': np.float64(0.007423402088698042), 'exit': np.float64(0.005114158651225939), 'cut': np.float64(0.0029063153932148526), 'disrupt': np.float64(0.002396740019998358), 'jump': np.float64(0.001299225348559393), 'interrupt': np.float64(0.0008923864613354506), 'lose': np.float64(0.0007384646822631061), 'fail': np.float64(0.0005343844467029705), 'drop': np.float64(0.0004940189325465334), 'fails': np.float64(0.0004940189325465334), 'unlock': np.float64(3.4184188744999634e-05), 'stop': np.float64(2.567805412086813e-05), 'suspend': np.float64(1.2887069545137053e-05)}"
128,"{'covid': np.float64(0.9801579583600002), 'eurozone': np.float64(0.12574045925519378), 'euro': np.float64(0.11568893225584181), 'ireland': np.float64(0.08270571670226243), 'brexit': np.float64(0.04116344593926424), 'export': np.float64(0.033744135150479665), 'withdrawal': np.float64(0.019983631998275853), 'jeopardise': np.float64(0.003028854239452913), 'election': np.float64(0.0022486716710538716), 'eurostoxx': np.float64(0.001827766251560017), 'recession': np.float64(0.0016094333807251413), 'labour': np.float64(0.0013390227068039013), 'retirement': np.float64(0.0008580212740750065), 'sterling': np.float64(0.0006455941018556851)}"
129,"{'provides': np.float64(0.7845389908094392), 'carrying': np.float64(0.5892424123950943), 'requires': np.float64(0.17194246161789375), 'promotes': np.float64(0.06841122022624653), 'delivering': np.float64(0.04192900454771693), 'creates': np.float64(0.020741985472461543), 'convey': np.float64(0.019412625035225065), 'deliver': np.float64(0.017867082580179595), 'introduces': np.float64(0.010379219298335237), 'introducing': np.float64(0.005447560580242484), 'broadens': np.float64(0.004742569397649906), 'delivered': np.float64(0.001828878035153162), 'brings': np.float64(0.00016399925109067404), 'prepares': np.float64(0.00015612633209189253)}"
130,"{'general': np.float64(0.8981432724088049), 'overarching': np.float64(0.3362866778268051), 'broader': np.float64(0.2388787097179863), 'extensive': np.float64(0.1179008208960316), 'riskier': np.float64(0.06206476635658931), 'widening': np.float64(0.05206943319965457), 'shorter': np.float64(0.04356282197746094), 'tighter': np.float64(0.02077416513143798), 'narrowed': np.float64(0.010564291553709956), 'fuller': np.float64(0.009995333156934743), 'sharper': np.float64(0.009995333156934743), 'weaker': np.float64(0.008992282457111315), 'simpler': np.float64(0.0012106843889024925)}"
131,"{'trading': np.float64(0.9906337782240023), 'wholesale': np.float64(0.1342662631041), 'brokerage': np.float64(0.02013802235651723), 'shipping': np.float64(0.008988851604010398), 'marketability': np.float64(0.007843772639597683), 'syndication': np.float64(0.007843772639597674), 'marketplace': np.float64(0.002284022731893894), 'retailing': np.float64(0.0012640640220967004), 'renting': np.float64(0.001041113133009337), 'makelaarsland': np.float64(2.3736406135954624e-05), 'servicing': np.float64(-1.3644021849238388e-20)}"
